station,gear,skate_or_pot_unique_id,skate_or_pot_number,n_sablefish,detailed_gear
Exp_Set2,HAL,Exp_Set2_105_37,37,11,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_38,38,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_39,39,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_4,4,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_40,40,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_41,41,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_42,42,10,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_43,43,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_44,44,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_45,45,14,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_46,46,15,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_47,47,23,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_48,48,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_49,49,22,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_5,5,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_50,50,12,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_51,51,21,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_52,52,15,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_53,53,14,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_54,54,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_55,55,22,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_56,56,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_57,57,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_58,58,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_59,59,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_6,6,20,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_60,60,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_61,61,15,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_62,62,23,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_63,63,10,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_64,64,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_65,65,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_66,66,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_67,67,12,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_68,68,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_69,69,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_7,7,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_70,70,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_71,71,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_72,72,10,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_73,73,12,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_74,74,14,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_75,75,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_76,76,13,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_77,77,26,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_78,78,21,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_79,79,22,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_8,8,8,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_80,80,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_81,81,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_82,82,11,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_83,83,17,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_84,84,16,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_85,85,14,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_86,86,12,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_87,87,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_88,88,20,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_89,89,19,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_9,9,18,Hook-and-line
Exp_Set2,HAL,Exp_Set2_105_90,90,28,Hook-and-line
Exp_Set2,POT,Exp_Set2_106_100,100,19,Small pots
Exp_Set2,POT,Exp_Set2_106_101,101,9,Small pots
Exp_Set2,POT,Exp_Set2_106_102,102,6,Small pots
Exp_Set2,POT,Exp_Set2_106_103,103,9,Small pots
Exp_Set2,POT,Exp_Set2_106_104,104,13,Small pots
Exp_Set2,POT,Exp_Set2_106_105,105,10,Small pots
Exp_Set2,POT,Exp_Set2_106_106,106,14,Small pots
Exp_Set2,POT,Exp_Set2_106_107,107,6,Small pots
Exp_Set2,POT,Exp_Set2_106_108,108,12,Small pots
Exp_Set2,POT,Exp_Set2_106_109,109,11,Small pots
Exp_Set2,POT,Exp_Set2_106_110,110,10,Small pots
Exp_Set2,POT,Exp_Set2_106_111,111,4,Small pots
Exp_Set2,POT,Exp_Set2_106_112,112,5,Small pots
Exp_Set2,POT,Exp_Set2_106_113,113,18,Small pots
Exp_Set2,POT,Exp_Set2_106_114,114,13,Small pots
Exp_Set2,POT,Exp_Set2_106_115,115,8,Small pots
Exp_Set2,POT,Exp_Set2_106_116,116,14,Small pots
Exp_Set2,POT,Exp_Set2_106_117,117,11,Small pots
Exp_Set2,POT,Exp_Set2_106_118,118,8,Small pots
Exp_Set2,POT,Exp_Set2_106_119,119,3,Small pots
Exp_Set2,POT,Exp_Set2_106_120,120,13,Small pots
Exp_Set2,POT,Exp_Set2_106_121,121,18,Small pots
Exp_Set2,POT,Exp_Set2_106_122,122,2,Small pots
Exp_Set2,POT,Exp_Set2_106_123,123,11,Small pots
Exp_Set2,POT,Exp_Set2_106_124,124,7,Small pots
