skate_id,station,gear,skate,n_sablefish,haul,depth,interp_depth
Day 2_105_66,Day 2,Hooks,66,19,105,525,537.6666666666666
Day 2_105_67,Day 2,Hooks,67,22,105,525,537.5
Day 2_105_68,Day 2,Hooks,68,21,105,525,537.3333333333334
Day 2_105_69,Day 2,Hooks,69,25,105,525,537.1666666666666
Day 2_105_70,Day 2,Hooks,70,19,105,525,537
Day 2_105_70,Day 2,Hooks,70,19,105,525,535.6666666666666
Day 2_105_71,Day 2,Hooks,71,16,105,525,534.3333333333334
Day 2_105_72,Day 2,Hooks,72,16,105,525,533
Day 2_105_73,Day 2,Hooks,73,24,105,525,531.6666666666666
Day 2_105_74,Day 2,Hooks,74,21,105,525,530.3333333333334
Day 2_105_75,Day 2,Hooks,75,14,105,525,529
Day 2_105_75,Day 2,Hooks,75,14,105,525,529
Day 2_105_76,Day 2,Hooks,76,19,105,525,529
Day 2_105_77,Day 2,Hooks,77,18,105,525,529
Day 2_105_78,Day 2,Hooks,78,19,105,525,529
Day 2_105_79,Day 2,Hooks,79,22,105,525,529
Day 2_105_80,Day 2,Hooks,80,24,105,525,529
Day 2_105_80,Day 2,Hooks,80,24,105,525,529.1666666666666
Day 2_105_81,Day 2,Hooks,81,26,105,525,529.3333333333334
Day 2_105_82,Day 2,Hooks,82,19,105,525,529.5
Day 2_105_83,Day 2,Hooks,83,22,105,525,529.6666666666666
Day 2_105_84,Day 2,Hooks,84,19,105,525,529.8333333333334
Day 2_105_85,Day 2,Hooks,85,24,105,525,530
Day 2_105_85,Day 2,Hooks,85,24,105,525,529
Day 2_105_86,Day 2,Hooks,86,17,105,525,528
Day 2_105_87,Day 2,Hooks,87,16,105,525,527
Day 2_105_88,Day 2,Hooks,88,15,105,525,526
Day 2_105_89,Day 2,Hooks,89,14,105,525,525
Day 2_105_10,Day 2,Hooks,10,19,105,550,572
Day 2_105_10,Day 2,Hooks,10,19,105,550,570.6666666666666
Day 2_105_11,Day 2,Hooks,11,19,105,550,569.3333333333334
Day 2_105_12,Day 2,Hooks,12,15,105,550,568
Day 2_105_13,Day 2,Hooks,13,8,105,550,566.6666666666666
Day 2_105_14,Day 2,Hooks,14,14,105,550,565.3333333333334
Day 2_105_15,Day 2,Hooks,15,10,105,550,564
Day 2_105_15,Day 2,Hooks,15,10,105,550,563
Day 2_105_16,Day 2,Hooks,16,15,105,550,562
Day 2_105_17,Day 2,Hooks,17,14,105,550,561
Day 2_105_18,Day 2,Hooks,18,12,105,550,560
Day 2_105_19,Day 2,Hooks,19,16,105,550,559
Day 2_105_20,Day 2,Hooks,20,12,105,550,558
Day 2_105_20,Day 2,Hooks,20,12,105,550,558.5
Day 2_105_21,Day 2,Hooks,21,15,105,550,559
Day 2_105_22,Day 2,Hooks,22,15,105,550,559.5
Day 2_105_23,Day 2,Hooks,23,11,105,550,560
Day 2_105_24,Day 2,Hooks,24,13,105,550,560.5
Day 2_105_25,Day 2,Hooks,25,7,105,550,561
Day 2_105_25,Day 2,Hooks,25,7,105,550,557.6666666666666
Day 2_105_26,Day 2,Hooks,26,10,105,550,554.3333333333334
Day 2_105_27,Day 2,Hooks,27,15,105,550,551
Day 2_105_1,Day 2,Hooks,1,3,105,575,597
Day 2_105_1,Day 2,Hooks,1,3,105,575,595.8
